Word,Count
logic,25
close,10
the,10
file,10
[`XLEN-1:0],8
change,6
Start,6
here,6
this,6
TB,6
[`ROB_SIZE-1:0],4
[`REG_ADDR_WIDTH-1:0],3
cdb:,2
avail,2
R,2
rs1,2
Add,2
on,2
Branch,1
decode_rs2;,1
PC,1
tail_en,1
decode_alu_op;,1
prod_rs2_tag;,1
rob_rs1_value;,1
decode_fu_sel;,1
instr_instr;,1
rob_rs2_valid;,1
ISSUE,1
[`ALU_OP_WIDTH-1:0],1
decode_rs1;,1
decode_imm;,1
rob_rs1_valid;,1
Instr,1
decode_op_sel;,1
cdb_value;,1
[2:0],1
rob_tag;,1
[`FU_SEL_WIDTH-1:0],1
wr_en,1
[`INSTR_WIDTH-1:0],1
=,1
decode_thread_id;,1
ALU,1
rob_rs2_value;,1
prod_rs1_valid;,1
ROB,1
prod_rs1_tag;,1
pc_stall_i,1
decode_rd;,1
reg_rs2_value;,1
assign,1
instr_pc;,1
cdb_tag;,1
station,1
Reservation,1
reg_rs1_value;,1
instr_thread_id;,1
control,1
(instr_o.full);,1
DECODE,1
decode_pc;,1
head_en,1
prod_rs2_valid;,1
